Epoch,V,BX_GSE,BY_GSM,BZ_GSM,N
2010-01-03 08:00:00,283.0,-0.8,6.1,-3.6,10.5
2010-01-03 09:00:00,288.0,-0.9,6.4,-3.8,12.4
2010-01-03 10:00:00,292.0,-0.2,3.7,-5.6,14.9
2010-01-03 11:00:00,295.0,1.7,-3.8,-1.3,15.4
2010-01-03 12:00:00,296.0,1.6,-4.0,-4.4,14.0
2010-01-03 13:00:00,291.0,2.7,-5.7,-0.7,12.0
2010-01-03 14:00:00,288.0,2.6,-5.4,3.1,11.2
2010-01-03 15:00:00,291.0,2.3,-4.8,-1.5,12.2
2010-01-03 16:00:00,282.0,4.0,-3.3,1.4,7.9
2010-01-03 17:00:00,282.0,4.7,-0.3,2.8,9.4
2010-01-03 18:00:00,293.0,2.6,-0.5,-1.3,14.8
2010-01-03 19:00:00,290.0,1.9,3.1,0.5,15.0
2010-01-03 20:00:00,285.0,3.2,1.4,0.1,15.0
2010-01-03 21:00:00,291.0,0.3,3.2,0.7,13.8
2010-01-03 22:00:00,294.0,0.7,-2.6,-2.6,13.5
2010-01-03 23:00:00,297.0,2.3,-2.5,0.4,12.8
2010-01-04 00:00:00,293.0,2.7,-0.7,-0.3,13.1
2010-01-04 01:00:00,301.0,2.1,-2.5,2.2,12.3
2010-01-04 02:00:00,306.0,2.9,0.4,2.4,12.7
2010-01-04 03:00:00,311.0,0.5,3.7,1.0,15.0
2010-01-04 04:00:00,308.0,-0.4,6.0,0.3,11.7
2010-01-04 05:00:00,302.0,-0.8,7.1,-0.4,9.6
2010-01-04 06:00:00,300.0,-1.7,5.7,-3.9,9.4
2010-01-04 07:00:00,294.0,-2.6,5.1,-2.8,7.0
2010-01-04 08:00:00,296.0,1.3,6.9,0.5,5.5
2010-01-04 09:00:00,289.0,-2.1,5.0,-2.7,6.0
2010-01-04 10:00:00,291.0,-0.5,5.4,0.0,6.5
2010-01-04 11:00:00,301.0,0.3,5.4,-0.3,6.6
2010-01-04 12:00:00,290.0,-1.1,5.4,-0.5,6.3
2010-01-04 13:00:00,287.0,-1.6,4.9,0.1,6.1
2010-01-04 14:00:00,277.0,-2.6,4.2,1.4,5.8
2010-01-04 15:00:00,269.0,-2.7,4.4,2.4,4.7
2010-01-04 16:00:00,265.0,-2.8,4.8,3.0,4.7
2010-01-04 17:00:00,265.0,-2.8,5.4,1.5,4.3
2010-01-04 18:00:00,262.0,-2.0,5.0,2.8,4.4
2010-01-04 19:00:00,265.0,-2.0,4.9,2.3,4.2
2010-01-04 20:00:00,273.0,-2.1,3.4,3.1,7.2
2010-01-04 21:00:00,281.0,-1.7,4.9,0.6,7.5
2010-01-04 22:00:00,277.0,-0.4,4.3,2.6,5.7
2010-01-04 23:00:00,307.0,2.3,3.2,4.1,5.4
2010-01-05 00:00:00,291.0,1.2,0.3,1.7,8.2
2010-01-05 01:00:00,290.0,1.4,-2.8,0.3,8.7
2010-01-05 02:00:00,295.0,0.3,1.3,1.4,9.2
2010-01-05 03:00:00,304.0,2.2,0.8,1.1,7.3
2010-01-05 04:00:00,298.0,0.9,1.7,0.9,9.1
2010-01-05 05:00:00,294.0,-1.3,0.8,1.4,9.7
2010-01-05 06:00:00,294.0,-1.9,1.6,-0.2,10.9
2010-01-05 07:00:00,294.0,-1.3,2.3,-0.2,10.5
2010-01-05 08:00:00,296.0,-0.2,4.6,-0.5,7.1
2010-01-05 09:00:00,290.0,-1.1,4.7,-1.4,5.2
2010-01-05 10:00:00,285.0,-1.3,4.5,-1.4,4.6
2010-01-05 11:00:00,290.0,-0.3,4.8,-1.2,4.8
2010-01-05 12:00:00,290.0,0.0,4.7,-1.8,4.7
2010-01-05 13:00:00,286.0,-0.2,4.3,-2.0,4.8
2010-01-05 14:00:00,285.0,-0.4,4.2,-2.5,4.4
2010-01-05 15:00:00,286.0,-0.3,4.7,-1.9,4.4
2010-01-05 16:00:00,282.0,-1.0,4.7,-1.3,4.9
2010-01-05 17:00:00,286.0,0.5,1.7,-0.6,6.1
2010-01-05 18:00:00,289.0,3.5,-2.9,-1.2,6.2
2010-01-05 19:00:00,289.0,3.1,-3.5,-0.3,5.2
2010-01-05 20:00:00,303.0,-0.3,-4.5,2.4,4.3
2010-01-05 21:00:00,300.0,0.3,-4.8,2.4,3.6
2010-01-05 22:00:00,303.0,-0.6,-5.1,1.5,3.2
2010-01-05 23:00:00,322.0,-1.8,-4.5,0.5,3.7
2010-01-06 00:00:00,308.0,0.6,-4.7,-1.7,3.1
2010-01-06 01:00:00,316.0,-0.3,-4.1,-3.4,2.8
2010-01-06 02:00:00,316.0,0.8,-2.6,-4.0,2.2
2010-01-06 03:00:00,328.0,-0.3,-2.5,-3.7,3.0
2010-01-06 04:00:00,324.0,0.1,-0.4,-4.9,3.1
2010-01-06 05:00:00,306.0,2.1,-0.8,-4.1,2.0
2010-01-06 06:00:00,311.0,3.6,-1.9,-1.5,2.4
2010-01-06 07:00:00,315.0,2.6,-1.9,2.5,2.9
2010-01-06 08:00:00,306.0,3.1,-2.2,1.0,2.7
2010-01-06 09:00:00,314.0,2.3,-1.0,2.3,3.0
2010-01-06 10:00:00,323.0,1.1,0.4,3.4,3.5
2010-01-06 11:00:00,315.0,1.9,-2.3,-0.5,4.0
2010-01-06 12:00:00,317.0,1.7,-3.2,1.4,3.6
2010-01-06 13:00:00,317.0,1.3,-1.2,3.2,3.7
2010-01-06 14:00:00,319.0,0.4,0.1,3.0,4.3
2010-01-06 15:00:00,330.0,-1.0,0.1,1.7,5.0
2010-01-06 16:00:00,335.0,-1.6,-0.4,1.1,4.9
2010-01-06 17:00:00,333.0,-2.2,-0.4,2.0,4.4
2010-01-06 18:00:00,334.0,-2.5,-0.9,2.0,4.5
2010-01-06 19:00:00,329.0,-1.0,-2.8,0.9,4.7
2010-01-06 20:00:00,326.0,-0.8,-2.6,1.1,4.4
2010-01-06 21:00:00,330.0,-1.2,-2.2,1.1,4.8
2010-01-06 22:00:00,322.0,-1.0,-2.5,1.2,5.2
2010-01-06 23:00:00,319.0,-1.3,-2.6,2.1,5.8
2010-01-07 00:00:00,318.0,-2.0,-1.9,2.0,6.2
2010-01-07 01:00:00,298.0,1.0,-2.2,0.7,4.9
2010-01-07 02:00:00,306.0,1.7,-2.3,0.4,4.2
2010-01-07 03:00:00,304.0,2.0,-2.7,-0.3,4.0
2010-01-07 04:00:00,301.0,1.9,-2.4,-1.8,3.9
2010-01-07 05:00:00,298.0,2.2,-2.1,-1.7,3.8
2010-01-07 06:00:00,296.0,2.2,-2.2,-0.8,4.1
2010-01-07 07:00:00,298.0,1.8,-1.8,1.5,3.9
2010-01-07 08:00:00,294.0,1.9,-2.3,1.3,3.1
2010-01-07 09:00:00,306.0,0.8,-1.7,3.0,3.8
2010-01-07 10:00:00,300.0,0.9,-2.1,2.0,4.2
2010-01-07 11:00:00,288.0,1.5,-1.8,2.5,5.4
2010-01-07 12:00:00,287.0,1.8,-2.6,1.7,6.5
2010-01-07 13:00:00,288.0,1.6,-2.1,2.3,6.6
2010-01-07 14:00:00,293.0,0.7,-3.2,1.5,7.3
2010-01-07 15:00:00,281.0,1.8,-3.2,0.9,6.9
2010-01-07 16:00:00,281.0,1.3,-3.2,0.7,7.4
2010-01-07 17:00:00,281.0,1.6,-3.1,-1.1,7.4
2010-01-07 18:00:00,279.0,2.0,-2.6,-1.6,7.0
2010-01-07 19:00:00,288.0,0.5,-2.9,-2.0,7.1
2010-01-07 20:00:00,293.0,-0.3,-1.6,-2.3,7.9
2010-01-07 21:00:00,287.0,0.8,-2.3,-1.2,7.1
2010-01-07 22:00:00,287.0,1.1,-2.8,-0.3,5.8
2010-01-07 23:00:00,286.0,3.3,-2.4,1.0,3.9
2010-01-08 00:00:00,286.0,1.7,-4.0,-1.4,4.9
2010-01-08 01:00:00,286.0,0.9,-3.3,-2.5,5.3
2010-01-08 02:00:00,292.0,0.8,-2.9,-1.8,4.2
2010-01-08 03:00:00,298.0,1.7,-2.4,-0.1,3.7
2010-01-08 04:00:00,300.0,1.8,-1.9,0.8,4.0
2010-01-08 05:00:00,303.0,0.5,-2.1,-1.7,4.6
2010-01-08 06:00:00,302.0,0.6,-2.0,-2.0,4.5
2010-01-08 07:00:00,299.0,0.7,-1.6,-1.7,3.9
2010-01-08 08:00:00,300.0,0.7,-2.5,-0.5,4.0
2010-01-08 09:00:00,305.0,-0.2,-2.6,-0.7,3.9
2010-01-08 10:00:00,298.0,0.8,-2.4,0.2,3.8
2010-01-08 11:00:00,293.0,1.4,-2.2,0.5,3.5
2010-01-08 12:00:00,283.0,2.6,-2.0,0.0,3.2
2010-01-08 13:00:00,281.0,2.5,-2.3,0.1,3.8
2010-01-08 14:00:00,284.0,2.4,-2.6,0.0,4.4
2010-01-08 15:00:00,287.0,1.8,-3.4,-0.6,3.9
2010-01-08 16:00:00,289.0,1.5,-3.5,-0.2,3.9
2010-01-08 17:00:00,293.0,1.1,-3.2,-1.2,4.5
2010-01-08 18:00:00,295.0,0.9,-3.8,-1.0,5.0
2010-01-08 19:00:00,287.0,1.7,-3.7,0.3,4.8
2010-01-08 20:00:00,279.0,1.9,-2.8,0.9,4.8
2010-01-08 21:00:00,284.0,1.5,-2.6,2.2,6.1
2010-01-08 22:00:00,289.0,1.2,-1.4,3.4,7.0
2010-01-08 23:00:00,293.0,1.0,-0.2,3.4,5.4
2010-01-09 00:00:00,296.0,-0.2,1.6,1.7,6.0
2010-01-09 01:00:00,295.0,0.2,-0.5,2.0,5.7
2010-01-09 02:00:00,295.0,0.3,-1.2,-1.2,6.1
2010-01-09 03:00:00,294.0,1.3,-0.7,-0.1,6.2
2010-01-09 04:00:00,295.0,1.0,-0.6,0.8,5.9
2010-01-09 05:00:00,298.0,-0.2,-1.2,1.4,5.7
2010-01-09 06:00:00,297.0,-0.1,-1.2,-1.1,5.7
2010-01-09 07:00:00,300.0,0.8,-0.9,-2.0,5.7
2010-01-09 08:00:00,299.0,1.2,0.1,-2.8,5.4
2010-01-09 09:00:00,301.0,0.8,0.2,-1.7,5.9
2010-01-09 10:00:00,302.0,0.3,-1.5,-1.5,6.1
2010-01-09 11:00:00,296.0,1.9,-0.6,-1.8,6.1
2010-01-09 12:00:00,297.0,1.5,-1.4,-1.5,6.2
2010-01-09 13:00:00,296.0,1.9,-0.7,1.3,6.7
2010-01-09 14:00:00,298.0,1.6,-1.4,1.9,7.0
2010-01-09 15:00:00,299.0,1.3,-2.3,1.1,7.3
2010-01-09 16:00:00,300.0,1.5,-2.8,-1.0,8.4
2010-01-09 17:00:00,298.0,1.4,-3.6,0.4,8.9
2010-01-09 18:00:00,299.0,0.8,-2.5,2.4,10.1
2010-01-09 19:00:00,297.0,-0.5,-2.0,2.9,9.3
2010-01-09 20:00:00,292.0,-1.2,-2.0,3.2,9.1
2010-01-09 21:00:00,290.0,-2.1,-1.6,4.1,8.3
2010-01-09 22:00:00,280.0,1.6,-2.0,-0.7,11.4
2010-01-09 23:00:00,284.0,1.3,-0.9,-1.1,12.4
2010-01-10 00:00:00,288.0,-2.4,-0.7,1.9,10.8
2010-01-10 01:00:00,293.0,-3.0,-0.6,2.2,9.0
2010-01-10 02:00:00,282.0,-2.1,1.0,0.6,9.9
2010-01-10 03:00:00,277.0,-2.7,-1.1,0.9,10.2
2010-01-10 04:00:00,281.0,-2.4,-2.1,1.3,9.4
2010-01-10 05:00:00,290.0,-0.1,-3.5,1.4,12.6
2010-01-10 06:00:00,288.0,-1.1,-0.2,0.3,17.2
2010-01-10 07:00:00,294.0,0.8,4.0,0.7,15.0
2010-01-10 08:00:00,292.0,0.6,5.1,-0.9,15.0
2010-01-10 09:00:00,289.0,-1.6,3.2,-3.6,14.6
2010-01-10 10:00:00,295.0,-2.1,4.1,-4.1,8.4
2010-01-10 11:00:00,299.0,-1.9,4.1,-3.9,8.5
2010-01-10 12:00:00,299.0,-1.4,4.8,-1.1,9.7
2010-01-10 13:00:00,294.0,0.0,3.8,0.6,10.9
2010-01-10 14:00:00,293.0,-0.5,2.9,1.5,10.8
2010-01-10 15:00:00,297.0,-0.7,2.5,1.5,12.0
2010-01-10 16:00:00,314.0,-2.6,5.9,1.4,15.6
2010-01-10 17:00:00,311.0,-3.1,3.9,3.2,18.8
2010-01-10 18:00:00,310.0,-2.1,3.5,2.4,19.1
2010-01-10 19:00:00,310.0,0.8,-3.3,-0.3,19.6
2010-01-10 20:00:00,305.0,4.4,1.3,0.7,19.8
2010-01-10 21:00:00,303.0,2.7,2.8,0.1,19.9
2010-01-10 22:00:00,306.0,1.6,3.0,0.7,18.4
2010-01-10 23:00:00,304.0,2.7,0.8,-1.4,20.5
2010-01-11 00:00:00,307.0,3.5,0.1,-0.9,20.2
2010-01-11 01:00:00,296.0,-1.0,1.0,0.6,18.0
2010-01-11 02:00:00,293.0,-1.7,1.5,-0.1,16.7
2010-01-11 03:00:00,304.0,0.8,-1.4,-2.2,17.5
2010-01-11 04:00:00,297.0,-2.5,-1.4,-1.7,22.1
2010-01-11 05:00:00,297.0,-4.7,-1.5,-1.9,25.2
2010-01-11 06:00:00,306.0,-3.6,3.2,-0.8,30.3
2010-01-11 07:00:00,310.0,-2.2,2.3,-1.7,32.1
2010-01-11 08:00:00,320.0,2.0,-8.7,-0.4,10.5
2010-01-11 09:00:00,334.0,1.9,-9.4,-1.6,11.8
2010-01-11 10:00:00,343.0,7.2,-9.5,0.4,14.8
2010-01-11 11:00:00,352.0,7.0,-4.7,-3.1,21.1
2010-01-11 12:00:00,371.0,7.3,-5.8,-2.0,12.1
2010-01-11 13:00:00,395.0,6.7,-6.7,-1.1,9.9
2010-01-11 14:00:00,432.0,-0.2,-6.6,2.5,7.5
2010-01-11 15:00:00,480.0,-0.8,-5.4,2.5,5.3
2010-01-11 16:00:00,508.0,-1.9,-7.3,2.0,5.8
2010-01-11 17:00:00,475.0,0.5,-5.5,-1.0,5.1
2010-01-11 18:00:00,486.0,-2.4,-3.9,-1.1,5.1
2010-01-11 19:00:00,479.0,0.1,-3.4,-0.6,4.2
2010-01-11 20:00:00,452.0,2.0,-3.5,-0.7,3.6
2010-01-11 21:00:00,437.0,3.2,-4.0,-1.6,3.4
2010-01-11 22:00:00,454.0,0.5,-4.2,0.8,4.4
2010-01-11 23:00:00,479.0,1.7,-2.3,-0.1,4.4
2010-01-12 00:00:00,480.0,4.1,-1.3,-1.3,4.1
2010-01-12 01:00:00,481.0,4.3,-1.7,-1.0,3.6
2010-01-12 02:00:00,480.0,1.0,-3.5,0.0,4.0
2010-01-12 03:00:00,487.0,2.5,0.1,-0.2,4.5
2010-01-12 04:00:00,486.0,1.3,1.5,-0.2,4.8
2010-01-12 05:00:00,487.0,-0.5,-1.9,1.7,3.9
2010-01-12 06:00:00,466.0,-0.6,-2.9,2.2,3.6
2010-01-12 07:00:00,475.0,-0.4,-1.4,2.8,3.4
2010-01-12 08:00:00,479.0,-0.5,-2.0,0.6,3.6
2010-01-12 09:00:00,473.0,-1.0,-2.0,-0.4,3.3
2010-01-12 10:00:00,471.0,-1.9,-1.3,0.4,2.8
2010-01-12 11:00:00,472.0,-2.8,-0.9,0.4,2.4
2010-01-12 12:00:00,472.0,-3.1,-0.1,0.2,2.3
2010-01-12 13:00:00,466.0,-2.2,-0.5,0.5,2.6
2010-01-12 14:00:00,458.0,-3.0,-0.1,0.6,2.2
2010-01-12 15:00:00,453.0,-3.5,0.0,0.8,2.1
2010-01-12 16:00:00,452.0,-3.4,-0.2,1.2,2.2
2010-01-12 17:00:00,448.0,-0.7,-1.5,-0.3,3.6
2010-01-12 18:00:00,430.0,-1.4,-1.5,-0.7,4.4
2010-01-12 19:00:00,425.0,-0.6,-1.7,-2.0,4.0
2010-01-12 20:00:00,434.0,-1.9,-1.2,0.4,4.9
2010-01-12 21:00:00,433.0,-1.8,-0.8,1.4,4.9
2010-01-12 22:00:00,422.0,1.6,-1.7,-0.4,5.6
2010-01-12 23:00:00,422.0,2.2,-1.4,-2.1,6.3
2010-01-13 00:00:00,419.0,2.2,-0.5,-1.5,6.5
2010-01-13 01:00:00,432.0,-3.4,-2.8,2.5,4.4
2010-01-13 02:00:00,433.0,0.6,-4.3,0.1,5.5
2010-01-13 03:00:00,435.0,1.8,-5.0,-2.5,5.5
2010-01-13 04:00:00,438.0,1.6,-5.4,-2.2,5.4
2010-01-13 05:00:00,431.0,3.3,-3.1,-3.1,4.9
2010-01-13 06:00:00,430.0,2.2,-4.0,0.8,5.5
2010-01-13 07:00:00,434.0,-0.9,-2.8,1.6,5.4
2010-01-13 08:00:00,435.0,1.9,-1.1,0.5,4.9
2010-01-13 09:00:00,450.0,3.0,0.1,1.1,4.8
2010-01-13 10:00:00,462.0,-0.3,-1.3,0.7,4.6
2010-01-13 11:00:00,464.0,0.2,-2.0,-0.2,4.5
2010-01-13 12:00:00,450.0,1.2,-1.4,-0.5,4.6
2010-01-13 13:00:00,440.0,2.8,-1.6,-0.8,5.0
2010-01-13 14:00:00,439.0,3.5,-1.2,-1.7,4.8
2010-01-13 15:00:00,452.0,4.5,-1.6,-2.4,3.5
2010-01-13 16:00:00,499.0,4.3,-3.1,-1.7,2.4
2010-01-13 17:00:00,502.0,4.7,-2.7,-1.9,2.6
2010-01-13 18:00:00,498.0,2.9,-3.6,-0.8,2.8
2010-01-13 19:00:00,499.0,1.0,-5.0,0.3,2.6
2010-01-13 20:00:00,494.0,3.2,-3.1,-1.8,2.6
2010-01-13 21:00:00,489.0,3.9,-2.1,-1.8,2.4
2010-01-13 22:00:00,484.0,3.8,-1.9,-1.3,2.1
2010-01-13 23:00:00,492.0,3.4,-1.5,-1.6,2.0
2010-01-14 00:00:00,496.0,2.9,-2.9,0.0,1.8
2010-01-14 01:00:00,503.0,2.6,-3.1,-1.2,1.7
2010-01-14 02:00:00,506.0,2.7,-3.1,-0.5,1.6
2010-01-14 03:00:00,509.0,3.2,-2.3,-0.6,1.5
2010-01-14 04:00:00,507.0,3.7,-1.4,-0.8,1.5
2010-01-14 05:00:00,514.0,3.2,-2.4,-0.7,1.6
2010-01-14 06:00:00,508.0,3.8,-0.7,-0.3,1.4
2010-01-14 07:00:00,483.0,4.3,-0.5,-0.2,1.1
2010-01-14 08:00:00,478.0,3.9,-1.4,0.0,1.2
2010-01-14 09:00:00,471.0,4.2,-0.9,-0.3,1.3
2010-01-14 10:00:00,471.0,4.2,-0.9,-0.8,1.4
2010-01-14 11:00:00,480.0,3.6,-1.6,-0.8,1.5
2010-01-14 12:00:00,467.0,4.2,0.2,-1.0,1.7
2010-01-14 13:00:00,476.0,3.6,-0.3,-0.5,1.9
2010-01-14 14:00:00,479.0,3.4,-0.1,0.5,1.8
2010-01-14 15:00:00,475.0,3.9,0.6,-0.4,1.8
2010-01-14 16:00:00,464.0,3.9,1.0,-1.3,1.8
2010-01-14 17:00:00,465.0,4.0,0.3,-1.2,2.1
2010-01-14 18:00:00,465.0,4.1,0.2,-0.3,2.2
2010-01-14 19:00:00,468.0,3.9,-0.5,-1.0,2.4
2010-01-14 20:00:00,454.0,4.0,1.2,-0.8,2.3
2010-01-14 21:00:00,456.0,3.4,1.6,-0.8,2.5
2010-01-14 22:00:00,449.0,3.0,2.1,-0.5,2.7
2010-01-14 23:00:00,444.0,3.1,1.7,0.1,2.8
2010-01-15 00:00:00,438.0,3.5,0.6,-0.3,2.5
2010-01-15 01:00:00,440.0,2.8,1.1,-1.1,2.6
2010-01-15 02:00:00,438.0,2.6,1.2,-1.9,2.5
2010-01-15 03:00:00,429.0,3.5,0.9,-0.1,2.4
2010-01-15 04:00:00,428.0,3.6,0.6,0.2,2.5
2010-01-15 05:00:00,423.0,3.4,0.4,-0.7,2.4
2010-01-15 06:00:00,422.0,3.7,0.4,-1.1,2.8
2010-01-15 07:00:00,426.0,3.9,-0.8,-1.1,2.3
2010-01-15 08:00:00,416.0,3.4,-1.5,-0.1,2.2
2010-01-15 09:00:00,412.0,3.4,-1.5,0.3,2.3
2010-01-15 10:00:00,406.0,3.5,-1.8,0.3,2.4
2010-01-15 11:00:00,402.0,3.3,-1.9,0.2,2.5
2010-01-15 12:00:00,397.0,0.7,-0.7,0.9,3.3
2010-01-15 13:00:00,403.0,-1.7,0.3,2.8,3.7
2010-01-15 14:00:00,393.0,1.5,0.7,-0.9,4.5
2010-01-15 15:00:00,402.0,0.0,1.3,3.9,4.8
2010-01-15 16:00:00,395.0,1.5,-1.2,2.5,5.3
2010-01-15 17:00:00,401.0,0.8,-0.5,1.5,5.2
2010-01-15 18:00:00,398.0,2.6,1.1,-2.0,4.9
2010-01-15 19:00:00,407.0,0.1,-3.3,-1.4,5.0
2010-01-15 20:00:00,411.0,1.8,1.6,-1.3,3.7
2010-01-15 21:00:00,425.0,1.2,3.1,0.5,3.6
2010-01-15 22:00:00,423.0,0.3,2.1,1.2,3.6
2010-01-15 23:00:00,419.0,-0.9,0.4,1.9,3.3
2010-01-16 00:00:00,418.0,2.2,2.3,-0.3,3.2
2010-01-16 01:00:00,423.0,1.4,0.6,2.5,2.8
2010-01-16 02:00:00,428.0,1.4,-0.7,1.3,2.5
2010-01-16 03:00:00,445.0,0.5,-0.6,2.2,1.9
2010-01-16 04:00:00,450.0,0.3,-1.3,2.1,1.8
2010-01-16 05:00:00,429.0,2.1,-0.9,0.0,2.0
2010-01-16 06:00:00,434.0,0.8,-1.6,0.8,1.9
2010-01-16 07:00:00,425.0,0.9,-2.3,-0.2,1.9
2010-01-16 08:00:00,430.0,-0.6,-1.8,0.3,2.1
2010-01-16 09:00:00,413.0,0.3,-1.5,-0.8,2.2
2010-01-16 10:00:00,421.0,-1.1,-0.2,1.7,2.4
2010-01-16 11:00:00,402.0,0.7,-1.7,0.0,2.4
2010-01-16 12:00:00,410.0,-0.8,-1.1,-0.4,2.2
2010-01-16 13:00:00,383.0,1.2,-2.4,-0.1,2.2
2010-01-16 14:00:00,382.0,0.2,-3.0,-0.1,2.0
2010-01-16 15:00:00,382.0,0.2,-2.9,-0.6,2.2
2010-01-16 16:00:00,376.0,0.9,-2.5,0.5,2.4
2010-01-16 17:00:00,388.0,-1.2,0.3,1.8,2.6
2010-01-16 18:00:00,389.0,-2.3,-1.3,0.3,2.8
2010-01-16 19:00:00,367.0,-0.2,1.4,0.9,3.6
2010-01-16 20:00:00,365.0,-0.7,2.0,1.5,4.2
2010-01-16 21:00:00,364.0,-1.2,2.2,1.7,4.4
2010-01-16 22:00:00,362.0,-1.0,2.1,1.6,4.9
2010-01-16 23:00:00,359.0,-1.1,2.2,1.1,5.4
2010-01-17 00:00:00,355.0,0.0,2.1,0.8,6.4
2010-01-17 01:00:00,353.0,1.2,1.2,-0.2,5.3
2010-01-17 02:00:00,351.0,2.7,-2.1,-1.3,2.9
2010-01-17 03:00:00,360.0,1.8,-2.0,-1.0,3.7
2010-01-17 04:00:00,356.0,2.0,-1.7,-0.6,3.6
2010-01-17 05:00:00,350.0,2.4,-2.0,-0.2,3.4
2010-01-17 06:00:00,346.0,2.9,-0.9,-1.1,3.4
2010-01-17 07:00:00,350.0,1.8,-1.6,0.0,3.7
2010-01-17 08:00:00,361.0,-1.5,-1.9,1.2,4.3
2010-01-17 09:00:00,344.0,0.6,-2.3,1.1,3.7
2010-01-17 10:00:00,328.0,2.2,-1.7,0.3,3.2
2010-01-17 11:00:00,323.0,2.3,-1.2,0.2,2.8
2010-01-17 12:00:00,323.0,2.4,-0.8,0.9,3.6
2010-01-17 13:00:00,324.0,2.1,-1.4,0.7,3.7
2010-01-17 14:00:00,320.0,2.3,-1.4,0.2,3.2
2010-01-17 15:00:00,330.0,2.1,-1.9,1.1,4.6
2010-01-17 16:00:00,335.0,0.9,-2.1,0.2,5.2
2010-01-17 17:00:00,337.0,0.2,-2.8,-0.7,5.4
2010-01-17 18:00:00,331.0,1.6,-1.4,1.8,5.6
2010-01-17 19:00:00,328.0,1.4,-2.1,0.2,5.4
2010-01-17 20:00:00,327.0,1.6,-2.6,-0.6,5.8
